Time,G1 - Min,G1 - Max,G1 - Cost
27/01/2019 15.00,0,1600,0.05217
27/01/2019 16.00,0,1600,0.05349
27/01/2019 17.00,0,1600,0.05431
27/01/2019 18.00,0,1600,0.05438
27/01/2019 19.00,0,1600,0.05426
27/01/2019 20.00,0,1600,0.05361
27/01/2019 21.00,0,1600,0.0528
27/01/2019 22.00,0,1600,0.0525
27/01/2019 23.00,0,1600,0.05153
28/01/2019 00.00,0,1600,0.05102
28/01/2019 01.00,0,1600,0.05051
28/01/2019 02.00,0,1600,0.05032
28/01/2019 03.00,0,1600,0.05039
28/01/2019 04.00,0,1600,0.05097
28/01/2019 05.00,0,1600,0.05357
28/01/2019 06.00,0,1600,0.05514
28/01/2019 07.00,0,1600,0.06199
28/01/2019 08.00,0,1600,0.06117
28/01/2019 09.00,0,1600,0.0619
